config,job,run_id,run_number,cpu_model,stage_index,label,cpu_avg_pct,energy_j,power_avg_w,duration_s
C,main,35509843041,1,"AMD EPYC 9V74 80-Core Processor",1,install,50.5545,65.4648,5.26,12.44
C,main,35509843041,1,"AMD EPYC 9V74 80-Core Processor",2,test,33.8791,121.761,4.40,27.67
C,main,35509843041,1,"AMD EPYC 9V74 80-Core Processor",3,build,53.055,45.2895,5.43,8.34
C,main,35509843041,1,"AMD EPYC 9V74 80-Core Processor",4,deploy,48.4582,134.318,5.36,25.06
E,build,35509920628,1,"AMD EPYC 9V74 80-Core Processor",1,install,57.1677,56.0351,5.56,10.08
E,build,35509920628,1,"AMD EPYC 9V74 80-Core Processor",2,build,55.0956,48.5361,5.48,8.86
E,build,35509920628,1,"AMD EPYC 9V74 80-Core Processor",3,deploy,44.4969,146.22,5.16,28.32
E,lint,35509920628,1,"AMD EPYC 7763 64-Core Processor",1,install,45.4983,93.5741,4.97,18.84
E,lint,35509920628,1,"AMD EPYC 7763 64-Core Processor",2,lint,37.9728,191.707,4.58,41.88
E,test,35509920628,1,"Intel(R) Xeon(R) 6973P-C",1,install,50.4731,79.2123,5.22,15.18
E,test,35509920628,1,"Intel(R) Xeon(R) 6973P-C",2,test,40.3723,800.717,4.76,168.22
D,main,35512150930,1,"AMD EPYC 9V74 80-Core Processor",1,install,54.6801,57.2366,5.44,10.52
D,main,35512150930,1,"AMD EPYC 9V74 80-Core Processor",2,test,41.1804,130.272,4.76,27.39
D,main,35512150930,1,"AMD EPYC 9V74 80-Core Processor",3,build,56.703,46.6187,5.56,8.38
D,main,35512150930,1,"AMD EPYC 9V74 80-Core Processor",4,deploy,51.222,139.472,5.49,25.39
B,main,35512227398,1,"AMD EPYC 9V74 80-Core Processor",1,install,56.5158,71.4596,5.62,12.72
B,main,35512227398,1,"AMD EPYC 9V74 80-Core Processor",2,lint,38.8326,196.612,4.62,42.56
B,main,35512227398,1,"AMD EPYC 9V74 80-Core Processor",3,test,34.9831,933.595,4.51,206.89
B,main,35512227398,1,"AMD EPYC 9V74 80-Core Processor",4,build,54.53,59.1155,5.47,10.81
